timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691509408199,256,HTTP Request,200,OK,Thread Group 1-49,text,true,,1728,118,3,3,https://www.daraz.com.bd/,255,0,194
1691509408299,284,HTTP Request,200,OK,Thread Group 1-50,text,true,,1710,118,3,3,https://www.daraz.com.bd/,283,0,225
1691509408397,281,HTTP Request,200,OK,Thread Group 1-51,text,true,,1716,118,3,3,https://www.daraz.com.bd/,281,0,213
1691509408498,249,HTTP Request,200,OK,Thread Group 1-52,text,true,,1728,118,3,3,https://www.daraz.com.bd/,249,0,182
1691509408598,261,HTTP Request,200,OK,Thread Group 1-53,text,true,,1734,118,3,3,https://www.daraz.com.bd/,261,0,199
1691509408696,258,HTTP Request,200,OK,Thread Group 1-54,text,true,,1734,118,3,3,https://www.daraz.com.bd/,258,0,192
1691509408796,261,HTTP Request,200,OK,Thread Group 1-55,text,true,,1747,118,3,3,https://www.daraz.com.bd/,261,0,204
1691509408896,247,HTTP Request,200,OK,Thread Group 1-56,text,true,,1728,118,3,3,https://www.daraz.com.bd/,247,0,182
1691509408998,265,HTTP Request,200,OK,Thread Group 1-57,text,true,,1728,118,3,3,https://www.daraz.com.bd/,265,0,192
1691509409097,255,HTTP Request,200,OK,Thread Group 1-58,text,true,,1728,118,3,3,https://www.daraz.com.bd/,255,0,197
1691509409197,280,HTTP Request,200,OK,Thread Group 1-59,text,true,,1747,118,3,3,https://www.daraz.com.bd/,279,0,220
1691509409297,242,HTTP Request,200,OK,Thread Group 1-60,text,true,,1740,118,3,3,https://www.daraz.com.bd/,241,0,180
1691509409397,272,HTTP Request,200,OK,Thread Group 1-61,text,true,,1728,118,3,3,https://www.daraz.com.bd/,272,0,208
1691509409499,266,HTTP Request,200,OK,Thread Group 1-62,text,true,,1722,118,3,3,https://www.daraz.com.bd/,266,0,202
1691509409598,291,HTTP Request,200,OK,Thread Group 1-63,text,true,,1734,118,3,3,https://www.daraz.com.bd/,290,0,230
1691509409697,316,HTTP Request,200,OK,Thread Group 1-64,text,true,,1722,118,4,4,https://www.daraz.com.bd/,316,0,232
1691509409798,287,HTTP Request,200,OK,Thread Group 1-65,text,true,,1753,118,3,3,https://www.daraz.com.bd/,287,0,231
1691509409899,265,HTTP Request,200,OK,Thread Group 1-66,text,true,,1716,118,3,3,https://www.daraz.com.bd/,264,0,206
1691509410000,260,HTTP Request,200,OK,Thread Group 1-67,text,true,,1734,118,3,3,https://www.daraz.com.bd/,260,0,197
1691509410097,251,HTTP Request,200,OK,Thread Group 1-68,text,true,,1716,118,3,3,https://www.daraz.com.bd/,251,0,185
1691509410198,244,HTTP Request,200,OK,Thread Group 1-69,text,true,,1740,118,3,3,https://www.daraz.com.bd/,244,0,187
1691509410298,265,HTTP Request,200,OK,Thread Group 1-70,text,true,,1710,118,3,3,https://www.daraz.com.bd/,265,0,203
1691509410399,249,HTTP Request,200,OK,Thread Group 1-71,text,true,,1722,118,3,3,https://www.daraz.com.bd/,249,0,191
